0,"Azeroth",0,15965,1,0,"Eastern Kingdoms",0,"","",4,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
1,"Kalimdor",0,15965,1,0,"Kalimdor",0,"","",3,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
13,"test",0,1555,2,0,"Testing",3817,"","",0,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
25,"ScottTest",0,1555,2,0,"Scott Test",0,"","",0,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
30,"PVPZone01",3,1553,1,1,"Alterac Valley",0,"Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).
","Hidden within the Alterac Mountains, Alterac Valley is the home of the Frostwolf clan.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past.

A large-scale battleground, each side attempts to destroy each other's tower fortifications and slay the enemy General (Vanndar Stormpike or Drek'Thar).
",104,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
33,"Shadowfang",1,1565,1,0,"Shadowfang Keep",0,"","",204,1.000000,0,-230.988998,1571.569946,-1.#QNAN0,0,0,10,-1.#QNAN0,
34,"StormwindJail",1,1553,2,0,"Stormwind Stockade",717,"","",194,1.000000,0,-8762.378906,848.010315,-1.#QNAN0,0,0,10,-1.#QNAN0,
35,"StormwindPrison",0,1555,2,0,"<unused>StormwindPrison",717,"","",23,1.000000,0,-8762.476563,848.049133,-1.#QNAN0,0,0,0,-1.#QNAN0,
36,"DeadminesInstance",1,1553,1,0,"Deadmines",0,"","",142,1.000000,0,-11207.799805,1681.150024,-1.#QNAN0,0,0,10,-1.#QNAN0,
37,"PVPZone02",0,1553,1,1,"Azshara Crater",0,"Crush the Alliance!","Defend yourself from the onslaught of the Horde!",25,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
42,"Collin",0,1555,2,0,"Collin's Test",0,"","",0,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,0,-1.#QNAN0,
43,"WailingCaverns",1,1553,2,0,"Wailing Caverns",718,"","",143,1.000000,1,-751.131226,-2209.240479,-1.#QNAN0,0,0,10,-1.#QNAN0,
44,"Monastery",1,1555,2,0,"<unused> Monastery",0,"","",42,1.000000,0,2892.413330,-811.241333,-1.#QNAN0,0,0,10,-1.#QNAN0,
47,"RazorfenKraulInstance",1,1553,1,0,"Razorfen Kraul",0,"","",188,1.000000,1,-4459.449219,-1660.211792,-1.#QNAN0,0,0,10,-1.#QNAN0,
48,"Blackfathom",1,1553,2,0,"Blackfathom Deeps",719,"","",196,1.000000,1,4249.120605,748.387085,-1.#QNAN0,0,0,10,-1.#QNAN0,
70,"Uldaman",1,1553,2,0,"Uldaman",1337,"","",144,1.000000,0,-6060.181641,-2954.997314,-1.#QNAN0,0,0,10,-1.#QNAN0,
90,"GnomeragonInstance",1,1553,2,0,"Gnomeregan",721,"","",193,1.000000,0,-5162.661621,931.598755,-1.#QNAN0,0,0,10,-1.#QNAN0,
109,"SunkenTemple",1,1553,2,0,"Sunken Temple",1477,"","",191,1.000000,0,-10291.700195,-3987.629883,-1.#QNAN0,0,0,10,-1.#QNAN0,
129,"RazorfenDowns",1,1553,1,0,"Razorfen Downs",0,"","",145,1.000000,1,-4662.882813,-2535.871582,-1.#QNAN0,0,0,10,-1.#QNAN0,
169,"EmeraldDream",2,1553,1,0,"Emerald Dream",0,"","",0,1.000000,-1,0.000000,0.000000,-1.#QNAN0,0,0,40,-1.#QNAN0,
189,"MonasteryInstances",1,1553,1,0,"Scarlet Monastery",0,"","",190,1.000000,0,2892.235352,-811.263672,-1.#QNAN0,0,0,10,-1.#QNAN0,
209,"TanarisInstance",1,1553,1,0,"Zul'Farrak",0,"","",146,1.000000,1,-6790.576660,-2891.278076,-1.#QNAN0,0,0,10,-1.#QNAN0,
229,"BlackRockSpire",1,1537,2,0,"Blackrock Spire",1583,"","",189,1.000000,0,-7522.526855,-1233.041504,-1.#QNAN0,0,0,10,-1.#QNAN0,
230,"BlackrockDepths",1,1553,2,0,"Blackrock Depths",1584,"","",103,1.000000,0,-7178.094727,-928.639465,-1.#QNAN0,0,0,5,-1.#QNAN0,
249,"OnyxiaLairInstance",2,34305,2,0,"Onyxia's Lair",2159,"","",61,1.000000,1,-4753.312500,-3752.421143,-1.#QNAN0,0,0,40,-1.#QNAN0,
269,"CavernsOfTime",1,1553,1,0,"Opening of the Dark Portal",0,"","",212,1.000000,1,-8750.827148,-4193.513184,-1.#QNAN0,1,0,5,-1.#QNAN0,
289,"SchoolofNecromancy",1,1553,1,0,"Scholomance",0,"","",102,1.000000,0,1274.781250,-2552.563965,-1.#QNAN0,0,0,5,-1.#QNAN0,
309,"Zul'gurub",1,525841,1,0,"Zul'Gurub",1977,"","",161,1.000000,0,-11916.059570,-1224.577148,-1.#QNAN0,0,0,20,-1.#QNAN0,
329,"Stratholme",1,1553,1,0,"Stratholme",0,"","",101,1.000000,0,3392.316895,-3378.483154,-1.#QNAN0,0,0,5,-1.#QNAN0,
349,"Mauradon",1,1553,2,0,"Maraudon",2100,"","",81,1.000000,1,-1432.697144,2924.977539,-1.#QNAN0,0,0,10,-1.#QNAN0,
369,"DeeprunTram",0,1553,2,0,"Deeprun Tram",2257,"","",205,1.000000,0,-8349.223633,517.347961,-1.#QNAN0,0,0,0,-1.#QNAN0,
